variable_id,unit,time_cell_method,long_name,standard_name,frequency,comments
tas,K,i,Near-Surface Air Temperature,air_temperature,"mon, day, 3hr",3hr >  1hr
tasmax,K,,Daily Maximum Near-Surface Air Temperature,air_temperature,"mon, day",
tasmin,K,,Daily Minimum Near-Surface Air Temperature,air_temperature,"mon, day",
ts,K,i,Surface Temperature,surface_temperature,"mon, day, 6hr",6hr > 1hr
pr,kg m-2 s-1,a,Precipitation,precipitation_flux,"mon, day, 3hr",3hr > 1hr
prc,kg m-2 s-1,a,Convective Precipitation,convective_precipitation_flux,"day, 3hr",3hr > 1hr
prhmax,kg m-2 s-1,,Daily Maximum Hourly Precipitation Rate,precipitation_flux,day,
prsn,kg m-2 s-1,a,Snowfall Flux,snowfall_flux,"mon, day, 3hr",3hr > 1hr
evspsbl,kg m-2 s-1,a,Evaporation,water_evaporation_flux,"mon, day, 6hr",
evspsblpot,kg m-2 s-1,a,Potential Evapotranspiration,water_potential_evaporation_flux,"mon, day, 6hr"," many formulas to calculate, delete?"
mrros,kg m-2 s-1,a,Surface Runoff,surface_runoff_flux,"mon, day, 6hr",
mrro,kg m-2 s-1,a,Total Runoff,runoff_flux,"mon, day, 6hr",
snm,kg m-2 s-1,a,Surface Snow Melt,surface_snow_melt_flux,"mon, day, 6hr",
huss,1,i,Near-Surface Specific Humidity,specific_humidity,"mon, day, 3hr",3hr > 1hr
hurs,%,i,Near-Surface Relative Humidity,relative_humidity,"mon, day, 3hr",3hr > 1hr
ps,Pa,i,Surface Air Pressure,surface_air_pressure,"day, 3hr",3hr > 1hr
psl,Pa,i,Sea Level Pressure,air_pressure_at_sea_level,"mon, day, 3hr",do we need 1hr psl ?
tauu,Pa,a,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,"day, 6hr",
tauv,Pa,a,Surface Downward Northward Wind Stress,surface_downward_northward_stress,"day, 6hr",
sfcWind,m s-1,i,Near-Surface Wind Speed,wind_speed,"mon, day, 3hr",3hr > 1hr
sfcWindmax,m s-1,,Daily Maximum Near-Surface Wind Speed,wind_speed,"mon, day",
uas,m s-1,i,Eastward Near-Surface Wind,eastward_wind,"mon, day, 6hr",6hr > 3hr
vas,m s-1,i,Northward Near-Surface Wind,northward_wind,"mon, day, 6hr",6hr > 3hr
wsgsmax,m s-1,,Daily Maximum Near-Surface Wind Speed of Gust,wind_speed_of_gust,day,
clt,%,a,Total Cloud Fraction,cloud_area_fraction,"mon, day, 3hr",3hr > 1hr
clh,%,a,High Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,"day, 6hr",
clm,%,a,Mid Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,"day, 6hr",
cll,%,a,Low Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,"day, 6hr",
