region,short_name,long_name,nlon,nlat,ll_lon,ur_lon,ll_lat,ur_lat,dlon,dlat,pollon,pollat
1,SAM-22,South America,292,334,143.81,207.83,-38.39,34.87,0.22,0.22,-56.06,70.6
2,CAM-22,Central America,420,226,-52.91,39.27,-28.71,20.79,0.22,0.22,113.98,75.74
3,NAM-22,North America,310,260,-33.99,33.99,-28.51,28.47,0.22,0.22,83,42.5
4,EUR-22,Europe,212,206,-28.32,18.1,-23.32,21.78,0.22,0.22,-162,39.25
5,AFR-22,Africa,388,402,-24.75,60.39,-45.87,42.35,0.22,0.22,180,90
6,WAS-22,South Asia,386,260,-32.23,52.47,-21.67,35.31,0.22,0.22,-123.34,79.95
7,EAS-22,East Asia,396,251,-43.23,43.67,-22.1,32.9,0.22,0.22,296.3,61
8,CAS-22,Central Asia,306,200,-34.43,32.67,-20.79,22.99,0.22,0.22,-103.39,43.48
9,AUS-22,Australasia,400,258,142.05,229.83,-22.99,33.55,0.22,0.22,141.38,60.31
14,SEA-22,South East Asia,264,194,89.26,147.12,-15.18,27.28,0.22,0.22,180,90
