region,short_name,long_name,nlon,nlat,ll_lon,ur_lon,ll_lat,ur_lat,dlon,dlat,pollon,pollat
1,SAM-44,South America,146,167,143.92,207.72,-38.28,34.76,0.44,0.44,-56.06,70.6
2,CAM-44,Central America,210,113,-52.8,39.16,-28.6,20.68,0.44,0.44,113.98,75.74
3,NAM-44,North America,155,130,-33.88,33.88,-28.4,28.36,0.44,0.44,83,42.5
4,EUR-44,Europe,106,103,-28.21,17.99,-23.21,21.67,0.44,0.44,-162,39.25
5,AFR-44,Africa,194,201,-24.64,60.28,-45.76,42.24,0.44,0.44,180,90
6,WAS-44,South Asia,193,130,-32.12,52.36,-21.56,35.2,0.44,0.44,-123.34,79.95
7,EAS-44,East Asia,203,167,-40.92,47.96,-26.84,46.2,0.44,0.44,-64.78,77.61
8,CAS-44,Central Asia,153,100,-34.32,32.56,-20.68,22.88,0.44,0.44,-103.39,43.48
9,AUS-44,Australasia,200,129,142.16,229.72,-22.88,33.44,0.44,0.44,141.38,60.31
10,ANT-44,Antarctica,125,97,152.72,207.28,-27.72,14.52,0.44,0.44,-166.92,6.08
11,ARC-44,Arctic,116,133,-22.88,27.72,-24.2,33.88,0.44,0.44,0,6.55
12,MED-44,Mediterranean,98,63,-23.22,19.46,-21.34,5.94,0.44,0.44,198,39.25
13,MNA-44,Middle East and North Africa,232,118,-26.4,75.24,-6.6,44.88,0.44,0.44,180,90
13,MNA-22,Middle East and North Africa,464,236,-26.51,75.35,-6.71,44.99,0.22,0.22,180,90
